START TIME:2022-08-22 22:17:10
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
1,0.000000e+00, -1.06000e+00, -2.27427e-08
1,2.004900e-02, -1.04000e+00, -2.05116e-08
1,4.009700e-02, -1.02000e+00, -1.98137e-08
1,6.014600e-02, -1.00000e+00, -1.96406e-08
1,8.019400e-02, -9.80000e-01, -1.84548e-08
1,1.002420e-01, -9.60000e-01, -1.65803e-08
1,1.202910e-01, -9.40000e-01, -1.59382e-08
1,1.403400e-01, -9.20000e-01, -1.45832e-08
1,1.603880e-01, -9.00000e-01, -1.38940e-08
1,1.804360e-01, -8.80000e-01, -1.32085e-08
1,2.004850e-01, -8.60000e-01, -1.27820e-08
1,2.205330e-01, -8.40000e-01, -1.20934e-08
1,2.405810e-01, -8.20000e-01, -1.15098e-08
1,2.606290e-01, -8.00000e-01, -1.06372e-08
1,2.806780e-01, -7.80000e-01, -1.02501e-08
1,3.007260e-01, -7.60000e-01, -9.75525e-09
1,3.207750e-01, -7.40000e-01, -9.35853e-09
1,3.408230e-01, -7.20000e-01, -8.86524e-09
1,3.608760e-01, -7.00000e-01, -8.00395e-09
1,3.809250e-01, -6.80000e-01, -7.54440e-09
1,4.009730e-01, -6.60000e-01, -7.22897e-09
1,4.210220e-01, -6.40000e-01, -6.76179e-09
1,4.410700e-01, -6.20000e-01, -6.12187e-09
1,4.611190e-01, -6.00000e-01, -5.86939e-09
1,4.811680e-01, -5.80000e-01, -5.50449e-09
1,5.012160e-01, -5.60000e-01, -4.99523e-09
1,5.212640e-01, -5.40000e-01, -4.88234e-09
1,5.413130e-01, -5.20000e-01, -4.51064e-09
1,5.613620e-01, -5.00000e-01, -4.07994e-09
1,5.814100e-01, -4.80000e-01, -3.63064e-09
1,6.014590e-01, -4.60000e-01, -3.35848e-09
1,6.215070e-01, -4.40000e-01, -3.14331e-09
1,6.415550e-01, -4.20000e-01, -2.85542e-09
1,6.616030e-01, -4.00000e-01, -2.59399e-09
1,6.816520e-01, -3.80000e-01, -2.55048e-09
1,7.017000e-01, -3.60000e-01, -2.23708e-09
1,7.217520e-01, -3.40000e-01, -2.11668e-09
1,7.418010e-01, -3.20000e-01, -1.92690e-09
1,7.618490e-01, -3.00000e-01, -1.69504e-09
1,7.818980e-01, -2.80000e-01, -1.48654e-09
1,8.019460e-01, -2.60000e-01, -1.33955e-09
1,8.219940e-01, -2.40000e-01, -1.26898e-09
1,8.420430e-01, -2.20000e-01, -1.15919e-09
1,8.625990e-01, -2.00000e-01, -1.05178e-09
1,8.826470e-01, -1.80000e-01, -9.09328e-10
1,9.026960e-01, -1.60000e-01, -7.84874e-10
1,9.227440e-01, -1.40000e-01, -6.89387e-10
1,9.427930e-01, -1.20000e-01, -5.90563e-10
1,9.628410e-01, -1.00000e-01, -4.88162e-10
1,9.828900e-01, -8.00000e-02, -3.96729e-10
1,1.002940e+00, -6.00000e-02, -3.06249e-10
1,1.022990e+00, -4.00000e-02, -2.18630e-10
1,1.043030e+00, -2.00000e-02, -1.31249e-10
1,1.063190e+00, 0.00000e+00, -6.49691e-11
1,1.083240e+00, 2.00000e-02, 6.59227e-11
1,1.103290e+00, 4.00000e-02, 1.58191e-10
1,1.123340e+00, 6.00000e-02, 2.47478e-10
1,1.143390e+00, 8.00000e-02, 3.44515e-10
1,1.163440e+00, 1.00000e-01, 4.51922e-10
1,1.183480e+00, 1.20000e-01, 5.52893e-10
1,1.203530e+00, 1.40000e-01, 6.72579e-10
1,1.223580e+00, 1.60000e-01, 7.98702e-10
1,1.243630e+00, 1.80000e-01, 9.28283e-10
1,1.263680e+00, 2.00000e-01, 1.08397e-09
1,1.284230e+00, 2.20000e-01, 1.19817e-09
1,1.304280e+00, 2.40000e-01, 1.30177e-09
1,1.324330e+00, 2.60000e-01, 1.43707e-09
1,1.344380e+00, 2.80000e-01, 1.63805e-09
1,1.364430e+00, 3.00000e-01, 1.86384e-09
1,1.384470e+00, 3.20000e-01, 2.06769e-09
1,1.404520e+00, 3.40000e-01, 2.31779e-09
1,1.424570e+00, 3.60000e-01, 2.49648e-09
1,1.444620e+00, 3.80000e-01, 2.75993e-09
1,1.464670e+00, 4.00000e-01, 3.03960e-09
1,1.484720e+00, 4.20000e-01, 3.26347e-09
1,1.504760e+00, 4.40000e-01, 3.50177e-09
1,1.524810e+00, 4.60000e-01, 3.82090e-09
1,1.544860e+00, 4.80000e-01, 3.99244e-09
1,1.564910e+00, 5.00000e-01, 4.39346e-09
1,1.584960e+00, 5.20000e-01, 4.86004e-09
1,1.605010e+00, 5.40000e-01, 5.20217e-09
1,1.625050e+00, 5.60000e-01, 5.51820e-09
1,1.645100e+00, 5.80000e-01, 5.78105e-09
1,1.665150e+00, 6.00000e-01, 6.24907e-09
1,1.685200e+00, 6.20000e-01, 6.88624e-09
1,1.705250e+00, 6.40000e-01, 7.43449e-09
1,1.725300e+00, 6.60000e-01, 8.04806e-09
1,1.745350e+00, 6.80000e-01, 8.81195e-09
1,1.765390e+00, 7.00000e-01, 9.52208e-09
1,1.785440e+00, 7.20000e-01, 9.74965e-09
1,1.805490e+00, 7.40000e-01, 1.08348e-08
1,1.825540e+00, 7.60000e-01, 1.14789e-08
1,1.845590e+00, 7.80000e-01, 1.21789e-08
1,1.865640e+00, 8.00000e-01, 1.25731e-08
1,1.885690e+00, 8.20000e-01, 1.38632e-08
1,1.905730e+00, 8.40000e-01, 1.55759e-08
1,1.925780e+00, 8.60000e-01, 1.63991e-08
1,1.945830e+00, 8.80000e-01, 1.73203e-08
1,1.965880e+00, 9.00000e-01, 2.01749e-08
1,1.985930e+00, 9.20000e-01, 2.10074e-08
1,2.005980e+00, 9.40000e-01, 2.24053e-08
1,2.026020e+00, 9.60000e-01, 2.51536e-08
1,2.046070e+00, 9.80000e-01, 2.52354e-08
1,2.066120e+00, 1.00000e+00, 2.76686e-08
2,2.178017e+00, -1.06000e+00, -2.48200e-08
2,2.198065e+00, -1.04000e+00, -2.35941e-08
2,2.218114e+00, -1.02000e+00, -2.25912e-08
2,2.238162e+00, -1.00000e+00, -2.07796e-08
2,2.258210e+00, -9.80000e-01, -1.96781e-08
2,2.278259e+00, -9.60000e-01, -1.80233e-08
2,2.298307e+00, -9.40000e-01, -1.72627e-08
2,2.318356e+00, -9.20000e-01, -1.62503e-08
2,2.338404e+00, -9.00000e-01, -1.46962e-08
2,2.358452e+00, -8.80000e-01, -1.31807e-08
2,2.378501e+00, -8.60000e-01, -1.27344e-08
2,2.398549e+00, -8.40000e-01, -1.27529e-08
2,2.418597e+00, -8.20000e-01, -1.19550e-08
2,2.438646e+00, -8.00000e-01, -1.16292e-08
2,2.458694e+00, -7.80000e-01, -1.16092e-08
2,2.478743e+00, -7.60000e-01, -1.01266e-08
2,2.498792e+00, -7.40000e-01, -9.60886e-09
2,2.518840e+00, -7.20000e-01, -9.07660e-09
2,2.538893e+00, -7.00000e-01, -8.53157e-09
2,2.558941e+00, -6.80000e-01, -8.06582e-09
2,2.578989e+00, -6.60000e-01, -7.94327e-09
2,2.599037e+00, -6.40000e-01, -7.39443e-09
2,2.619086e+00, -6.20000e-01, -7.12895e-09
2,2.639134e+00, -6.00000e-01, -7.09975e-09
2,2.659183e+00, -5.80000e-01, -6.83367e-09
2,2.679231e+00, -5.60000e-01, -6.23524e-09
2,2.699279e+00, -5.40000e-01, -5.75817e-09
2,2.719328e+00, -5.20000e-01, -5.42116e-09
2,2.739376e+00, -5.00000e-01, -5.24592e-09
2,2.759425e+00, -4.80000e-01, -4.82333e-09
2,2.779474e+00, -4.60000e-01, -4.65548e-09
2,2.799522e+00, -4.40000e-01, -4.36664e-09
2,2.819571e+00, -4.20000e-01, -3.94297e-09
2,2.839619e+00, -4.00000e-01, -3.71003e-09
2,2.859668e+00, -3.80000e-01, -3.16930e-09
2,2.879716e+00, -3.60000e-01, -2.87855e-09
