START TIME:2022-08-22 22:41:03
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
1,0.000000e+00, -1.04000e+00, -9.86838e-09
1,2.004800e-02, -1.02000e+00, -7.92420e-09
1,4.009700e-02, -1.00000e+00, -7.47216e-09
1,6.014500e-02, -9.80000e-01, -7.10046e-09
1,8.019400e-02, -9.60000e-01, -6.74057e-09
1,1.002420e-01, -9.40000e-01, -6.41990e-09
1,1.202910e-01, -9.20000e-01, -6.13463e-09
1,1.403390e-01, -9.00000e-01, -5.85151e-09
1,1.603870e-01, -8.80000e-01, -5.56552e-09
1,1.804350e-01, -8.60000e-01, -5.35667e-09
1,2.004840e-01, -8.40000e-01, -5.12874e-09
1,2.205320e-01, -8.20000e-01, -4.93979e-09
1,2.405810e-01, -8.00000e-01, -4.66681e-09
1,2.606290e-01, -7.80000e-01, -4.48728e-09
1,2.806770e-01, -7.60000e-01, -4.25625e-09
1,3.007260e-01, -7.40000e-01, -4.06611e-09
1,3.207740e-01, -7.20000e-01, -3.85869e-09
1,3.408230e-01, -7.00000e-01, -3.68023e-09
1,3.608750e-01, -6.80000e-01, -3.52991e-09
1,3.809240e-01, -6.60000e-01, -3.36075e-09
1,4.009720e-01, -6.40000e-01, -3.23403e-09
1,4.210210e-01, -6.20000e-01, -3.10099e-09
1,4.410690e-01, -6.00000e-01, -2.95556e-09
1,4.611170e-01, -5.80000e-01, -2.82121e-09
1,4.811650e-01, -5.60000e-01, -2.68602e-09
1,5.012140e-01, -5.40000e-01, -2.55680e-09
1,5.212620e-01, -5.20000e-01, -2.40672e-09
1,5.413110e-01, -5.00000e-01, -2.29919e-09
1,5.613600e-01, -4.80000e-01, -2.17545e-09
1,5.814080e-01, -4.60000e-01, -2.05314e-09
1,6.014560e-01, -4.40000e-01, -1.94299e-09
1,6.215040e-01, -4.20000e-01, -1.81997e-09
1,6.415530e-01, -4.00000e-01, -1.71018e-09
1,6.616010e-01, -3.80000e-01, -1.60050e-09
1,6.816490e-01, -3.60000e-01, -1.50442e-09
1,7.016970e-01, -3.40000e-01, -1.40285e-09
1,7.217500e-01, -3.20000e-01, -1.29545e-09
1,7.417980e-01, -3.00000e-01, -1.21474e-09
1,7.618470e-01, -2.80000e-01, -1.11568e-09
1,7.818950e-01, -2.60000e-01, -1.02246e-09
1,8.019440e-01, -2.40000e-01, -9.32455e-10
1,8.219920e-01, -2.20000e-01, -8.55088e-10
1,8.425480e-01, -2.00000e-01, -7.98821e-10
1,8.625970e-01, -1.80000e-01, -6.96778e-10
1,8.826460e-01, -1.60000e-01, -6.11782e-10
1,9.026940e-01, -1.40000e-01, -5.35727e-10
1,9.227430e-01, -1.20000e-01, -4.63247e-10
1,9.427910e-01, -1.00000e-01, -3.88265e-10
1,9.628390e-01, -8.00000e-02, -3.15428e-10
1,9.828880e-01, -6.00000e-02, -2.57969e-10
1,1.002940e+00, -4.00000e-02, -1.84298e-10
1,1.022990e+00, -2.00000e-02, -1.13368e-10
1,1.043140e+00, 0.00000e+00, -6.62804e-11
1,1.063190e+00, 2.00000e-02, 2.68221e-11
1,1.083240e+00, 4.00000e-02, 9.83477e-11
1,1.103290e+00, 6.00000e-02, 1.69277e-10
1,1.123330e+00, 8.00000e-02, 2.45094e-10
1,1.143380e+00, 1.00000e-01, 3.23892e-10
1,1.163430e+00, 1.20000e-01, 4.00305e-10
1,1.183480e+00, 1.40000e-01, 4.85063e-10
1,1.203530e+00, 1.60000e-01, 5.71013e-10
1,1.223580e+00, 1.80000e-01, 6.63519e-10
1,1.243620e+00, 2.00000e-01, 7.52926e-10
1,1.264180e+00, 2.20000e-01, 8.54611e-10
1,1.284230e+00, 2.40000e-01, 9.96113e-10
1,1.304280e+00, 2.60000e-01, 1.12247e-09
1,1.324320e+00, 2.80000e-01, 1.23680e-09
1,1.344370e+00, 3.00000e-01, 1.36268e-09
1,1.364420e+00, 3.20000e-01, 1.49155e-09
1,1.384470e+00, 3.40000e-01, 1.62280e-09
1,1.404520e+00, 3.60000e-01, 1.75488e-09
1,1.424570e+00, 3.80000e-01, 1.88553e-09
1,1.444620e+00, 4.00000e-01, 2.03121e-09
1,1.464660e+00, 4.20000e-01, 2.18213e-09
1,1.484710e+00, 4.40000e-01, 2.36881e-09
1,1.504760e+00, 4.60000e-01, 2.52235e-09
1,1.524810e+00, 4.80000e-01, 2.71606e-09
1,1.544860e+00, 5.00000e-01, 2.95663e-09
1,1.564910e+00, 5.20000e-01, 3.19993e-09
1,1.584950e+00, 5.40000e-01, 3.40390e-09
1,1.605000e+00, 5.60000e-01, 3.66199e-09
1,1.625050e+00, 5.80000e-01, 3.81851e-09
1,1.645100e+00, 6.00000e-01, 4.09460e-09
1,1.665150e+00, 6.20000e-01, 4.36306e-09
1,1.685200e+00, 6.40000e-01, 4.66788e-09
1,1.705250e+00, 6.60000e-01, 4.90439e-09
1,1.725300e+00, 6.80000e-01, 5.19216e-09
1,1.745340e+00, 7.00000e-01, 5.52773e-09
1,1.765390e+00, 7.20000e-01, 5.88644e-09
1,1.785440e+00, 7.40000e-01, 6.28078e-09
1,1.805490e+00, 7.60000e-01, 6.64639e-09
1,1.825540e+00, 7.80000e-01, 7.06017e-09
1,1.845590e+00, 8.00000e-01, 7.48146e-09
1,1.865640e+00, 8.20000e-01, 7.97939e-09
1,1.885680e+00, 8.40000e-01, 8.51595e-09
1,1.905730e+00, 8.60000e-01, 9.11248e-09
1,1.925780e+00, 8.80000e-01, 9.71961e-09
1,1.945830e+00, 9.00000e-01, 1.03383e-08
1,1.965880e+00, 9.20000e-01, 1.10239e-08
1,1.985930e+00, 9.40000e-01, 1.17146e-08
1,2.005970e+00, 9.60000e-01, 1.24817e-08
1,2.026020e+00, 9.80000e-01, 1.32073e-08
1,2.046070e+00, 1.00000e+00, 1.35893e-08
2,2.192835e+00, -1.04000e+00, -1.00911e-08
2,2.212884e+00, -1.02000e+00, -8.18479e-09
2,2.232932e+00, -1.00000e+00, -7.45392e-09
2,2.252980e+00, -9.80000e-01, -7.03895e-09
2,2.273029e+00, -9.60000e-01, -6.76024e-09
2,2.293077e+00, -9.40000e-01, -6.48177e-09
2,2.313125e+00, -9.20000e-01, -6.10197e-09
2,2.333174e+00, -9.00000e-01, -5.86367e-09
2,2.353223e+00, -8.80000e-01, -5.78594e-09
2,2.373271e+00, -8.60000e-01, -5.40757e-09
2,2.393319e+00, -8.40000e-01, -5.21374e-09
2,2.413368e+00, -8.20000e-01, -4.99833e-09
2,2.433416e+00, -8.00000e-01, -4.81868e-09
2,2.453465e+00, -7.80000e-01, -4.61042e-09
2,2.473514e+00, -7.60000e-01, -4.54533e-09
2,2.493562e+00, -7.40000e-01, -4.42052e-09
2,2.513611e+00, -7.20000e-01, -4.22168e-09
2,2.533659e+00, -7.00000e-01, -4.03774e-09
2,2.553712e+00, -6.80000e-01, -3.85094e-09
2,2.573761e+00, -6.60000e-01, -3.53515e-09
2,2.593809e+00, -6.40000e-01, -3.31247e-09
2,2.613858e+00, -6.20000e-01, -3.17550e-09
2,2.633906e+00, -6.00000e-01, -3.03638e-09
2,2.653955e+00, -5.80000e-01, -2.87700e-09
2,2.674003e+00, -5.60000e-01, -2.72346e-09
2,2.694051e+00, -5.40000e-01, -2.55859e-09
2,2.714100e+00, -5.20000e-01, -2.46060e-09
2,2.734148e+00, -5.00000e-01, -2.32995e-09
2,2.754196e+00, -4.80000e-01, -2.20728e-09
2,2.774245e+00, -4.60000e-01, -2.09177e-09
2,2.794294e+00, -4.40000e-01, -1.97697e-09
2,2.814342e+00, -4.20000e-01, -1.85227e-09
2,2.834390e+00, -4.00000e-01, -1.74141e-09
2,2.854440e+00, -3.80000e-01, -1.62947e-09
2,2.874488e+00, -3.60000e-01, -1.54042e-09
2,2.894536e+00, -3.40000e-01, -1.43373e-09
2,2.914590e+00, -3.20000e-01, -1.33872e-09
2,2.934638e+00, -3.00000e-01, -1.24025e-09
2,2.954687e+00, -2.80000e-01, -1.14357e-09
2,2.974735e+00, -2.60000e-01, -1.04702e-09
2,2.994783e+00, -2.40000e-01, -9.67503e-10
2,3.014832e+00, -2.20000e-01, -8.79169e-10
2,3.035388e+00, -2.00000e-01, -8.12888e-10
2,3.055436e+00, -1.80000e-01, -7.12037e-10
2,3.075484e+00, -1.60000e-01, -6.32763e-10
2,3.095533e+00, -1.40000e-01, -5.55873e-10
2,3.115581e+00, -1.20000e-01, -4.79460e-10
2,3.135629e+00, -1.00000e-01, -4.07934e-10
2,3.155678e+00, -8.00000e-02, -3.30806e-10
2,3.175726e+00, -6.00000e-02, -2.62737e-10
2,3.195775e+00, -4.00000e-02, -1.90496e-10
2,3.215825e+00, -2.00000e-02, -1.16944e-10
2,3.235975e+00, 0.00000e+00, -6.83069e-11
2,3.256025e+00, 2.00000e-02, 3.19481e-11
2,3.276075e+00, 4.00000e-02, 1.04308e-10
2,3.296125e+00, 6.00000e-02, 1.78456e-10
2,3.316175e+00, 8.00000e-02, 2.52843e-10
2,3.336225e+00, 1.00000e-01, 3.36051e-10
2,3.356275e+00, 1.20000e-01, 4.18782e-10
2,3.376315e+00, 1.40000e-01, 4.99606e-10
2,3.396365e+00, 1.60000e-01, 5.85675e-10
2,3.416415e+00, 1.80000e-01, 6.75917e-10
2,3.436465e+00, 2.00000e-01, 7.69138e-10
2,3.457015e+00, 2.20000e-01, 8.66652e-10
2,3.477065e+00, 2.40000e-01, 9.67383e-10
2,3.497115e+00, 2.60000e-01, 1.06537e-09
2,3.517165e+00, 2.80000e-01, 1.18232e-09
2,3.537215e+00, 3.00000e-01, 1.29092e-09
2,3.557255e+00, 3.20000e-01, 1.41656e-09
2,3.577305e+00, 3.40000e-01, 1.54483e-09
2,3.597355e+00, 3.60000e-01, 1.67274e-09
2,3.617405e+00, 3.80000e-01, 1.83153e-09
2,3.637455e+00, 4.00000e-01, 1.98245e-09
2,3.657505e+00, 4.20000e-01, 2.13385e-09
2,3.677555e+00, 4.40000e-01, 2.31075e-09
2,3.697595e+00, 4.60000e-01, 2.47729e-09
2,3.717645e+00, 4.80000e-01, 2.68316e-09
2,3.737695e+00, 5.00000e-01, 2.84183e-09
2,3.757745e+00, 5.20000e-01, 3.02804e-09
2,3.777795e+00, 5.40000e-01, 3.22187e-09
2,3.797845e+00, 5.60000e-01, 3.44455e-09
2,3.817885e+00, 5.80000e-01, 3.65901e-09
2,3.837935e+00, 6.00000e-01, 3.95298e-09
2,3.857985e+00, 6.20000e-01, 4.16613e-09
2,3.878035e+00, 6.40000e-01, 4.44245e-09
2,3.898085e+00, 6.60000e-01, 4.72808e-09
2,3.918125e+00, 6.80000e-01, 4.99165e-09
2,3.938175e+00, 7.00000e-01, 5.38027e-09
2,3.958225e+00, 7.20000e-01, 5.72526e-09
