START TIME:2022-08-22 22:19:30
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
1,1.965880e+00, 9.00000e-01, 1.12498e-08
1,1.985930e+00, 9.20000e-01, 1.19736e-08
1,2.005970e+00, 9.40000e-01, 1.28437e-08
1,2.026020e+00, 9.60000e-01, 1.34261e-08
1,2.046070e+00, 9.80000e-01, 1.48442e-08
1,2.066120e+00, 1.00000e+00, 1.58756e-08
2,2.191825e+00, -1.06000e+00, -1.60816e-08
2,2.211874e+00, -1.04000e+00, -1.33150e-08
2,2.231922e+00, -1.02000e+00, -1.26852e-08
2,2.251971e+00, -1.00000e+00, -1.20972e-08
2,2.272019e+00, -9.80000e-01, -1.22945e-08
2,2.292068e+00, -9.60000e-01, -1.13378e-08
2,2.312116e+00, -9.40000e-01, -1.06835e-08
2,2.332165e+00, -9.20000e-01, -1.03325e-08
2,2.352213e+00, -9.00000e-01, -9.81653e-09
2,2.372262e+00, -8.80000e-01, -9.13537e-09
2,2.392310e+00, -8.60000e-01, -8.83794e-09
2,2.412359e+00, -8.40000e-01, -8.24165e-09
2,2.432407e+00, -8.20000e-01, -7.76434e-09
2,2.452455e+00, -8.00000e-01, -7.16805e-09
2,2.472504e+00, -7.80000e-01, -6.65772e-09
2,2.492552e+00, -7.60000e-01, -6.51228e-09
2,2.512601e+00, -7.40000e-01, -6.06477e-09
2,2.532649e+00, -7.20000e-01, -5.68545e-09
2,2.552701e+00, -7.00000e-01, -5.09560e-09
2,2.572750e+00, -6.80000e-01, -4.96387e-09
2,2.592799e+00, -6.60000e-01, -4.86100e-09
2,2.612848e+00, -6.40000e-01, -4.57323e-09
2,2.632896e+00, -6.20000e-01, -4.19211e-09
2,2.652944e+00, -6.00000e-01, -3.76749e-09
2,2.672992e+00, -5.80000e-01, -3.64792e-09
2,2.693041e+00, -5.60000e-01, -3.35383e-09
2,2.713089e+00, -5.40000e-01, -3.44062e-09
2,2.733137e+00, -5.20000e-01, -3.39210e-09
2,2.753185e+00, -5.00000e-01, -3.21913e-09
2,2.773233e+00, -4.80000e-01, -3.06237e-09
2,2.793282e+00, -4.60000e-01, -2.86901e-09
2,2.813331e+00, -4.40000e-01, -2.60198e-09
2,2.833379e+00, -4.20000e-01, -2.28643e-09
2,2.853427e+00, -4.00000e-01, -2.26164e-09
2,2.873476e+00, -3.80000e-01, -2.08104e-09
2,2.893524e+00, -3.60000e-01, -1.94633e-09
2,2.913577e+00, -3.40000e-01, -1.77264e-09
2,2.933626e+00, -3.20000e-01, -1.61886e-09
2,2.953674e+00, -3.00000e-01, -1.47307e-09
2,2.973723e+00, -2.80000e-01, -1.37103e-09
2,2.993772e+00, -2.60000e-01, -1.24657e-09
2,3.013821e+00, -2.40000e-01, -1.13392e-09
2,3.033869e+00, -2.20000e-01, -1.05822e-09
2,3.054425e+00, -2.00000e-01, -9.27687e-10
2,3.074473e+00, -1.80000e-01, -8.07643e-10
2,3.094522e+00, -1.60000e-01, -7.03335e-10
2,3.114570e+00, -1.40000e-01, -5.94139e-10
2,3.134618e+00, -1.20000e-01, -5.26786e-10
2,3.154667e+00, -1.00000e-01, -4.44293e-10
2,3.174715e+00, -8.00000e-02, -3.55005e-10
2,3.194765e+00, -6.00000e-02, -2.67386e-10
2,3.214815e+00, -4.00000e-02, -1.97887e-10
2,3.234865e+00, -2.00000e-02, -1.20401e-10
